stem,content,style,params,raw_path,fin_path,content_path,edge_iou_raw,edge_iou_fin,delta_edge_iou,edge_density_raw,edge_density_fin,delta_edge_density,color_raw,color_fin,delta_color,lpips_raw_fin
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.12_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.90_final.jpg,data\content\portrait2.jpg,0.08407443744659303,0.06190906193562095,-0.022165375510972078,0.07831827799479167,0.09774610731336805,0.01942782931857638,23.781245665337792,18.909524986152217,-4.871720679185575,0.4982348680496216
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.12_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp0.95_final.jpg,data\content\portrait2.jpg,0.0828321779981331,0.062493409258673416,-0.02033876873945968,0.0821414523654514,0.09882948133680555,0.016688028971354157,23.856705142765392,18.913948467787996,-4.942756674977396,0.4974745512008667
portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0020_edge0.12_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0020_edge0.12_fp1.00_final.jpg,data\content\portrait2.jpg,0.08425060255760758,0.06261834802481228,-0.021632254532795298,0.0819125705295139,0.10012647840711805,0.018213907877604157,23.755115546344125,18.90028356359316,-4.854831982750966,0.49671655893325806
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.04_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.90_final.jpg,data\content\portrait2.jpg,0.07166096303079963,0.05703769845590958,-0.014623264574890056,0.11295233832465278,0.1267479790581597,0.013795640733506934,25.52333902847475,18.816308857124273,-6.707030171350478,0.4802221953868866
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.04_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp0.95_final.jpg,data\content\portrait2.jpg,0.075100648414082,0.058091976191267915,-0.017008672222814082,0.10750325520833333,0.12401496039496528,0.016511705186631948,25.14385662360013,18.79914009324315,-6.34471653035698,0.48061293363571167
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.04_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.04_fp1.00_final.jpg,data\content\portrait2.jpg,0.07099303659695246,0.05653446033810143,-0.014458576258851025,0.11315070258246528,0.1274685329861111,0.014317830403645829,25.45723938415168,18.83112250320095,-6.626116880950729,0.4759860038757324
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.08_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.90_final.jpg,data\content\portrait2.jpg,0.08077962886948152,0.060532836906537796,-0.020246791962943725,0.0916256374782986,0.10801527235243055,0.016389634874131948,24.296943325770084,18.831821791074038,-5.465121534696046,0.492654025554657
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.08_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp0.95_final.jpg,data\content\portrait2.jpg,0.07773521832996727,0.060829007932621686,-0.016906210397345585,0.09335496690538195,0.10909016927083333,0.01573520236545138,24.56906595638356,18.927768391609902,-5.641297564773659,0.48947247862815857
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.08_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.08_fp1.00_final.jpg,data\content\portrait2.jpg,0.08117591001631604,0.05998824985312316,-0.021187660163192873,0.08912150065104167,0.1059383816189236,0.016816880967881934,24.247470806072048,18.878080868952047,-5.369389937120001,0.4921939969062805
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.12_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.90_final.jpg,data\content\portrait2.jpg,0.08298870013067876,0.06145397832269564,-0.021534721807983118,0.0816006130642361,0.09948221842447917,0.017881605360243066,23.989610402693884,18.865325593166634,-5.12428480952725,0.49470028281211853
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.12_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp0.95_final.jpg,data\content\portrait2.jpg,0.08129230022155452,0.06114671295631632,-0.020145587265238206,0.082977294921875,0.10001458062065972,0.017037285698784724,23.971004044604918,18.848826104405944,-5.1221779401989735,0.4944664537906647
portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp1.00,portrait2,Ukiyo-e_print,sw15k_tv0.0026_edge0.12_fp1.00,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp1.00_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0026_edge0.12_fp1.00_final.jpg,data\content\portrait2.jpg,0.08132155112204306,0.0595140381734089,-0.021807512948634165,0.08291456434461805,0.10004679361979167,0.01713222927517362,23.90903712045469,18.947900839941394,-4.961136280513298,0.49738699197769165
portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.90,portrait2,Ukiyo-e_print,sw15k_tv0.0032_edge0.04_fp0.90,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.90_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.90_final.jpg,data\content\portrait2.jpg,0.07492469400983744,0.058007024994070545,-0.01691766901576689,0.10555860731336805,0.12099202473958333,0.015433417426215276,25.04473066102273,18.84001588369035,-6.204714777332381,0.482441782951355
portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.95,portrait2,Ukiyo-e_print,sw15k_tv0.0032_edge0.04_fp0.95,out\phase2\imgs\portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.95_768.jpg,out\phase2\finals\portrait2__Ukiyo-e_print__sw15k_tv0.0032_edge0.04_fp0.95_final.jpg,data\content\portrait2.jpg,0.07585963351949462,0.060093733726783546,-0.015765899792711077,0.10163031684027778,0.11748419867621528,0.0158538818359375,24.925101537196838,18.805204763653858,-6.11989677354298,0.48590031266212463
